cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
good,1,42.42,2,2,3,1,4,48,1385315,67707,14.31,246000,179000,0,1
good,2,41.42,2,2,5,1,3,500000,619284,340436,74.94,115000,508131,1,2
good,2,29.42,2,1,5,2,3,50000,3696318,520779,56.12,500000,1196000,0,1
bad,2,42.43,2,2,1,1,2,22000,617763,39743,47.42,225000,39000,1,1
bad,2,40.43,2,2,1,2,1,100000,2011059,0,45.44,450000,1426229,2,1
good,2,31.42,2,1,4,1,2,10000,44769,82472,73.75,70000,239782,1,2
good,1,39.43,2,2,1,2,3,50000,908105,109293,26.32,500000,837600,0,2
good,2,41.43,2,3,5,2,3,250000,963457,269495,51.45,280000,520500,3,1
good,1,31.42,2,2,1,2,3,10000,49935,358,29.11,100000,31000,0,2
good,1,46.44,2,3,1,2,2,80000,232026,130165,41.16,120000,522500,2,1
bad,2,36.43,2,2,1,2,2,80000,1516972,97437,22.71,500000,63000,11,1
good,1,52.44,2,2,1,2,3,250000,2399675,447617,50.75,500000,687000,2,1
good,1,30.43,2,3,4,1,3,12000,1759632,429831,51.14,300000,761855,0,1
bad,2,35.43,2,2,5,2,5,50000,362328,122627,28.51,500000,652460,6,2
good,1,48.44,2,1,2,2,5,20000,179766,43635,69.62,360000,163001,0,2
good,2,40.44,2,2,2,2,2,25000,458479,225972,70.08,300000,526678,0,2
bad,2,42.45,2,2,1,2,5,200000,330917,87017,38.33,500000,493021,3,2
bad,2,40.45,2,2,6,2,2,120000,394620,26613,20.41,500000,412000,1,2
good,1,43.45,2,2,1,2,2,100000,228553,113188,40.4,290000,152100,0,2
good,1,28.44,2,3,5,1,3,18000,2415420,19700,15.32,285000,175183,0,1
good,2,41.45,2,1,2,1,3,15000,1637499,267573,74.75,180000,410861,0,1
bad,1,43.46,2,2,1,2,3,30000,1693532,627367,74.42,450000,472000,5,2
good,2,28.45,2,2,2,2,5,15000,1891509,330977,20.68,500000,406000,1,1
good,2,27.45,1,2,5,2,2,25000,77399,242663,74.94,155000,463043,0,2
good,1,54.47,1,1,1,2,3,80000,460159,33078,21.54,160000,65000,4,1
good,2,37.45,2,2,5,1,4,10000,519554,120411,32.09,100000,131000,4,1
good,2,36.45,2,3,5,2,3,17000,466532,106156,25.06,180000,391000,8,1
good,2,39.46,2,2,5,1,3,8000,884112,336378,53.86,100000,666800,2,1
good,2,29.46,2,2,5,2,2,100000,3336393,890528,74.98,89000,1541940,0,1
good,2,45.47,2,2,5,2,3,100000,263958,99999,23.8,500000,100000,9,2
bad,1,32.46,2,2,1,2,5,10000,194307,124181,66.72,170000,157000,16,2
good,1,32.46,2,2,5,2,5,20000,125644,110808,74.97,238000,125500,0,2
good,1,41.47,2,2,5,1,2,60,155760,0,11.37,300000,8000,0,2
good,2,39.47,2,2,1,2,3,70000,558402,131592,40.3,500000,281833,0,2
good,1,29.46,2,3,5,2,2,10000,932984,31111,21.55,225000,89000,0,1
good,1,36.47,2,3,2,2,2,100000,263958,160872,6.92,500000,230000,3,1
good,2,33.47,2,2,5,1,3,5000,53862,53909,40.77,93000,96000,5,1
good,2,49.48,2,2,5,2,3,50000,95025,106287,52.96,180000,116000,1,2
good,1,50.48,1,2,1,2,2,80000,1011021,146543,18,200000,258200,0,1
good,1,26.47,2,1,5,2,5,100000,2568855,128445,15.83,500000,426113,1,1
good,2,48.48,2,2,5,2,3,100000,4733932,182176,74.99,360000,570872,1,1
good,2,38.47,2,3,5,1,3,20000,525372,34569,32.47,110000,54000,0,1
good,1,28.47,2,2,5,2,2,15000,227527,106740,46.2,250000,855536,1,2
good,2,38.47,2,2,5,1,2,60000,3166220,88770,7.38,500000,268600,2,1
bad,1,26.48,1,2,5,2,2,20000,1391323,458670,59.91,400000,471012,6,1
good,2,44.49,2,2,1,2,3,80000,1196155,167747,33.75,500000,230001,0,2
bad,2,45.49,2,2,1,2,5,120000,1225780,261364,61.66,400000,317400,1,2
good,2,41.49,2,1,1,2,3,50000,2695602,123284,67.65,320000,209200,0,2
good,1,48.5,2,2,5,1,2,8000,884191,0,17.06,300000,63000,0,1
good,2,37.49,2,2,1,2,3,20000,562516,108041,46.64,70000,157005,1,1
good,1,44.5,2,2,1,2,2,100000,318375,82959,41.59,300000,193756,0,2
bad,1,49.51,2,2,5,2,2,80000,1138633,289370,28.28,500000,258400,1,2
bad,1,30.5,1,2,2,1,3,5000,561891,287394,56.84,500000,374769,4,1
good,2,40.5,2,2,5,2,5,100000,1666238,53153,21.93,420000,118000,0,1
good,2,50.51,2,2,1,2,5,60000,158375,66475,19.77,300000,152000,0,1
good,1,44.5,2,3,5,2,5,300000,1256343,646959,53.09,500000,1003500,0,1
good,2,37.5,2,2,5,2,3,300000,8257445,16978,6.71,500000,45000,1,1
good,2,47.52,2,2,2,2,5,50000,412443,255069,61.36,500000,816179,0,2
good,1,33.5,2,2,5,2,2,30000,790300,39190,14.34,210000,41000,7,1
good,2,37.51,1,1,5,2,2,60000,405763,267451,58.94,215000,332900,0,1
good,2,35.51,2,3,2,1,5,12000,215360,272867,61.98,150000,462500,2,1
bad,2,50.53,2,2,5,2,2,100000,7075041,79958,8.07,500000,367000,1,1
good,1,41.52,2,2,1,2,2,20000,263958,97345,20.76,500000,115000,1,1
good,1,30.52,2,3,5,2,3,35000,580307,125018,23.91,177000,179000,0,1
good,2,33.52,1,3,5,1,3,20000,652559,98255,45.58,150000,127000,5,1
good,1,40.53,1,3,5,2,3,200000,8730113,117560,7.25,500000,348000,0,1
good,1,27.52,1,2,4,1,4,20000,2269558,195366,27.5,500000,502881,0,1
good,2,47.54,2,2,5,2,3,28000,563682,142591,74.9,82000,269000,0,1
good,1,32.53,2,2,1,2,3,50000,966209,98719,46.14,150000,169752,0,1
good,2,43.54,2,2,5,2,3,80000,968099,419640,53.2,277000,657531,1,1
good,2,41.54,2,1,5,2,2,100000,810438,263053,51.55,230000,289833,0,1
good,1,36.54,2,2,4,1,5,6000,0,0,21.89,500000,0,2,1
bad,1,25.54,2,2,5,2,2,40000,95962,3590,29.37,130000,9000,1,2
good,2,52.56,2,2,5,2,3,20000,397521,224971,12.87,100000,48000,0,1
good,2,32.55,2,2,1,2,3,75000,1093511,106063,72.81,450000,294720,0,2
good,2,44.56,2,3,5,2,2,40000,855190,0,21.62,228000,30000,1,1
good,1,45.56,2,3,1,2,3,50000,146783,1092,21.23,500000,10001,5,2
good,2,30.56,2,2,1,2,3,80000,923244,0,21.6,210000,4000,2,1
bad,1,43.57,2,2,5,2,5,100000,829404,323748,63.02,300000,543500,2,1
good,2,26.56,2,2,5,2,2,150000,446783,175239,60.16,500000,229000,6,2
good,1,33.56,2,2,4,1,4,10000,327937,121876,54.83,140000,181001,0,1
bad,2,31.56,2,1,5,2,5,55000,404006,490373,49.09,450000,402900,5,1
good,1,43.57,2,2,5,2,3,30000,1078783,0,56.07,200000,0,0,1
good,1,28.56,1,3,1,2,3,200000,955158,234125,27.21,290000,694400,0,1
good,2,30.56,2,3,1,2,2,70000,274457,38329,20.03,299000,100000,0,2
good,2,27.57,1,2,5,1,2,10000,1909408,179906,55.57,290000,205000,1,1
good,2,51.59,2,2,5,2,2,20000,566045,185123,28.26,300000,310391,1,1
good,1,28.57,2,2,1,2,5,50000,147327,62123,38.68,265000,121000,0,2
good,1,36.58,2,3,1,2,5,30000,1215456,28686,27.47,150000,60000,0,3
good,2,45.58,1,2,2,2,2,50000,1271429,5192,17.83,300000,8000,0,1
good,1,36.58,2,3,1,2,3,30000,353140,147919,74.9,60000,165800,0,1
good,1,42.58,2,1,5,2,3,80000,3005653,268490,25.74,437000,411000,0,1
good,2,48.59,2,3,1,2,3,30000,552807,145661,51.31,190000,148000,1,1
good,2,39.58,2,1,5,2,3,60000,1722381,235255,36.04,400000,641000,0,1
good,2,49.59,2,2,5,2,5,140000,433664,345223,60.77,500000,402563,0,2
good,2,52.61,2,3,5,2,3,130000,1963298,72260,10.24,280000,75000,4,1
good,2,27.59,1,2,1,2,3,80000,1180236,142005,37.32,500000,853411,1,2
good,1,36.6,2,3,1,2,2,15000,0,0,53.34,120000,0,8,2
good,2,46.61,2,2,1,2,4,100000,689076,55524,16.68,290000,172000,0,1
good,2,44.6,1,1,5,2,3,50000,373045,147081,30.01,299000,158010,1,2
good,1,35.6,2,2,5,1,2,600000,864706,88344,37.15,299000,152740,0,1
good,2,41.6,2,2,4,1,4,15000,688641,58673,33.22,250000,101000,13,1
good,1,41.6,1,3,5,2,2,60000,227940,228166,54.47,410000,282700,5,2
good,2,45.61,2,2,5,2,2,300000,797848,18201,23.7,176000,83000,2,4
good,2,36.6,2,3,5,2,2,300000,3909109,71715,27.77,500000,450000,0,1
good,2,29.6,1,2,5,2,2,80000,3362997,570533,46.62,500000,614083,0,1
good,2,46.61,2,2,5,2,3,70000,819319,5149,10.16,299000,292004,0,1
good,1,28.6,1,3,2,2,5,10000,652472,43580,15.93,200000,64600,0,1
bad,1,37.61,2,2,5,2,2,15000,4689047,211745,20.53,500000,182672,1,1
bad,1,29.6,2,1,5,2,3,100000,372250,0,21.42,460000,63001,1,1
good,1,25.6,1,2,4,1,3,14,2173100,123089,20.85,500000,170000,1,1
good,2,35.61,2,2,5,1,2,15000,311821,84179,49.45,85000,85700,0,1
good,2,40.62,2,3,5,2,2,30000,424028,87974,54.74,149000,137000,0,1
good,1,44.62,2,2,5,2,2,50000,277976,58951,17.28,500000,84833,0,2
good,2,42.62,2,3,5,1,3,43854,269927,81718,67.82,230000,276663,0,2
good,2,31.61,2,2,5,1,3,15000,645680,77459,22.96,108000,235000,0,1
bad,1,36.62,1,2,1,2,3,40000,305236,59446,11.06,500000,82000,6,2
good,1,39.63,2,3,5,2,2,50000,1083476,110043,21.03,500000,213012,0,2
good,2,47.63,2,2,5,2,3,80000,811397,168499,61.29,299000,316841,0,1
good,1,42.63,2,2,5,2,2,100000,3078951,116914,18.96,500000,115000,14,1
good,2,50.64,2,1,5,2,3,100000,364006,114,23.58,295000,97000,0,2
good,2,34.62,2,2,5,2,3,50000,384783,42321,35.15,150000,48001,2,1
good,1,27.62,2,3,5,1,2,8000,738155,11450,20.14,150000,180316,0,1
bad,1,44.64,2,1,5,2,2,100000,1802881,0,16.3,500000,150000,3,1
bad,1,25.62,2,2,5,1,2,18000,716934,62829,27.28,130000,54000,1,1
bad,2,42.64,2,2,5,2,2,100000,437977,50462,4.97,500000,90000,5,1
good,1,53.64,2,2,5,2,3,37000,1875046,0,20.6,500000,22000,0,1
bad,1,45.64,2,1,2,2,2,70000,295267,307181,72.49,400000,453000,1,2
good,2,39.64,2,1,5,2,5,100000,219206,38835,48.42,290000,371856,1,2
good,1,39.64,2,2,5,2,2,80000,798846,8511,32.97,229000,20000,0,2
good,2,26.63,1,2,1,2,5,100000,5414815,97506,27.21,299000,260000,0,1
good,2,44.64,1,2,5,2,3,100000,689321,129399,23.13,196000,252921,0,1
good,2,30.64,2,2,5,1,3,10000,634172,178844,26.55,60000,263667,0,1
good,2,52.65,2,1,5,2,5,75000,271867,89321,39.48,250000,153000,0,1
good,1,36.64,2,2,5,2,2,14000,1010988,22972,30.17,230000,93000,0,1
good,1,46.65,2,2,5,2,3,50000,790756,11973,47.72,200000,103600,0,1
good,2,30.64,1,2,3,1,4,6000,783208,251233,35.02,160000,407500,0,1
good,1,44.65,2,2,5,1,4,25000,156515,107961,40.67,260000,109600,1,2
good,2,54.66,2,3,5,2,2,70000,251953,37707,35.06,299000,66000,1,1
good,1,48.65,2,2,5,2,3,80000,774442,160719,35.82,259000,608680,0,1
good,1,50.65,2,2,5,2,2,60000,470932,81178,21.01,260000,90000,0,1
good,1,44.65,2,2,1,2,3,150000,1116618,147218,41.11,240000,175000,0,1
good,2,30.65,2,3,5,1,3,10000,460630,241170,24.63,100000,262865,0,1
good,2,31.65,2,1,3,1,4,6000,609392,75412,50.15,150000,190000,0,1
good,2,33.65,1,1,5,2,3,80000,170932,82816,25.89,280000,110000,6,1
good,1,29.65,2,3,1,2,2,50000,1122768,63706,14.41,189000,94600,0,1
good,2,44.66,2,2,4,1,2,80000,2595231,194671,31.62,500000,616000,0,1
bad,2,33.66,2,3,1,2,2,120000,378599,223667,32.46,100000,130244,3,1
good,1,37.66,1,2,3,1,3,10000,246880,0,42.23,299000,60200,0,2
good,2,48.67,2,2,5,2,3,40000,684870,32771,38.08,276000,106001,0,1
good,2,32.66,2,2,1,2,2,60000,421659,85564,74.4,190000,173000,0,2
good,1,48.67,1,2,5,2,3,50000,2391437,189693,29.58,295000,433000,1,1
good,1,37.66,2,2,5,2,2,100000,773634,18822,14.78,500000,130000,0,2
good,2,28.66,2,1,1,1,2,15000,872543,152879,20.5,130000,323592,0,1
good,2,50.68,2,3,5,2,3,30000,822454,299656,42.79,300000,358000,3,4
good,2,39.67,2,2,2,1,2,30000,1745115,29422,28.45,299000,127305,0,1
good,2,27.67,1,1,5,1,3,18000,813630,77956,31.86,150000,105000,5,1
good,2,32.67,1,1,1,1,2,20000,120620,0,28.26,130000,0,5,1
good,2,45.68,2,2,5,2,2,80000,450186,87812,48.92,400000,165000,0,2
good,2,52.68,2,2,5,2,3,80000,1016631,406912,49.48,280000,442000,0,1
good,2,38.68,2,3,5,1,2,50000,522422,15139,21.11,166000,50000,3,1
good,2,42.68,2,1,5,2,3,100000,2391734,492913,41.97,500000,943500,0,2
good,1,39.68,2,3,5,2,3,50000,1182171,108794,29.08,200000,494883,0,1
good,2,37.68,2,2,5,1,3,30000,1152180,26662,18.89,200000,55000,1,1
good,2,37.68,2,2,5,1,2,300000,2588521,366854,74.98,191000,516000,0,1
bad,2,41.68,2,1,5,1,2,12000,108115,140473,74.86,124000,186000,3,1
good,1,45.68,2,2,5,2,2,80000,496275,357269,50.95,500000,444001,3,1
good,2,43.68,1,2,5,2,3,80000,5978631,175334,16.7,500000,323700,1,1
bad,2,37.68,2,2,5,2,5,150000,235927,432120,74.97,251000,354001,2,2
good,1,51.69,2,1,5,2,3,80000,110859,0,56.78,190000,88520,6,2
good,2,47.69,2,2,5,2,2,50000,415468,77192,49.61,500000,112000,3,2
good,2,45.7,2,3,5,2,2,300000,12315037,114078,3.72,500000,162001,0,1
good,1,41.69,1,3,5,2,3,50000,884052,59839,58.24,223000,111000,0,1
good,1,31.69,2,3,5,2,3,50000,134198,45179,58.21,230000,142000,0,1
good,2,37.7,2,1,5,2,3,100000,418366,18000,21.63,118000,25000,0,1
good,2,31.7,2,3,5,2,2,50000,1025069,44246,27.86,239000,74167,0,1
good,1,33.7,1,2,2,1,2,40000,827964,19712,44.07,211000,534070,0,1
bad,2,26.7,1,2,5,2,2,50000,225588,80717,55.05,240000,104000,3,2
good,2,27.7,2,2,2,1,3,50000,1875957,261969,36.85,495000,722872,1,2
good,2,43.71,2,2,1,2,5,80000,172123,100530,42.71,295000,125000,0,2
good,2,53.71,2,1,3,2,4,12000,363439,46020,24.72,150000,55413,1,1
good,1,40.7,2,3,2,1,3,18000,227496,20238,15.79,290000,78000,0,3
good,1,45.72,2,2,5,2,2,150000,1369683,4557,23.08,500000,10000,2,2
good,2,38.72,2,3,5,1,2,37000,530416,116235,22.63,210000,188611,1,1
good,1,28.71,2,3,5,2,2,50000,784590,233937,21.99,295000,294002,0,1
good,2,34.71,2,3,3,1,3,10000,393661,24766,27.35,76000,35000,0,1
bad,1,46.72,2,2,1,2,3,12000,78599,41725,47.96,100000,34000,5,2
bad,1,41.72,2,2,5,2,2,80000,774329,55792,19.39,153000,21000,11,1
good,1,27.71,2,3,3,1,4,10000,18050,12639,34.89,54000,55000,0,1
good,2,41.72,2,2,5,2,3,100000,1879529,232644,44.95,450000,320000,1,1
good,2,39.72,2,2,5,2,2,150000,564027,192820,57.65,500000,233300,1,2
good,1,36.72,1,2,5,2,3,50000,971518,83260,15.92,295000,190010,0,1
good,1,32.72,2,3,1,2,2,20000,624812,42505,36.76,245000,113000,0,1
good,1,35.72,2,2,2,2,5,100000,454683,55277,18.94,500000,94000,0,1
good,2,31.72,2,2,5,1,2,15000,1250142,101657,34.04,150000,109250,1,1
bad,2,31.72,2,2,5,2,3,50000,217760,264784,55.07,295000,327002,6,2
good,2,49.73,2,2,3,1,1,2800,342327,156478,13.77,250000,239000,0,1
good,2,43.73,2,2,5,2,2,800000,1054605,65831,50.37,295000,422075,0,2
good,2,52.74,2,2,1,2,3,20000,1291095,114988,52.25,500000,52200,2,2
good,1,39.73,1,3,5,2,2,100000,546504,219182,74.98,170000,250000,3,1
good,1,30.73,2,3,5,2,2,20000,150449,54362,44.85,120000,53000,0,1
good,1,41.74,2,2,1,1,3,10000,603114,0,13.72,140000,11000,8,1
good,1,35.74,2,2,1,2,3,50000,331495,126026,45.56,500000,426600,4,2
good,2,31.73,2,2,2,1,4,15000,442532,29527,31.41,124000,44000,0,1
good,2,27.73,2,1,5,2,2,80000,528202,21608,20.91,200000,24000,0,1
good,1,27.73,2,3,5,1,3,26,737645,8334,29.57,140000,116500,0,1
good,1,43.74,1,2,1,2,3,12000,159244,128615,41.75,250000,136000,0,1
good,1,40.75,2,2,1,1,2,20000,174574,0,21.31,290000,50000,0,2
good,2,26.75,2,2,5,2,2,50000,849596,307790,49.96,295000,1090000,0,1
good,2,27.75,1,1,5,2,5,30000,133694,2479,40.42,219000,10000,0,2
good,2,32.75,2,2,1,1,2,50000,722594,58372,38.06,300000,55100,0,1
good,1,44.76,2,2,5,2,2,50000,773976,181733,44.53,140000,216000,0,1
good,2,28.75,2,1,1,2,3,30000,1205286,413865,74.33,200000,1314088,0,2
good,2,37.76,1,2,5,2,3,15000,293340,80088,53.07,220000,87000,0,1
good,2,46.76,2,2,5,2,3,50000,1397169,112444,66.42,150000,545200,0,2
good,1,42.76,2,2,5,2,5,120000,1520672,84489,17.99,500000,159000,1,1
good,1,28.75,2,2,5,2,2,80000,1112518,274000,50.39,445000,466230,1,1
good,1,51.77,2,2,4,1,3,30000,666185,476575,48.67,500000,524000,0,1
good,1,36.76,2,2,5,2,2,100000,1871563,149781,46.18,400000,490459,5,1
bad,2,35.76,2,2,2,2,5,80000,719024,6583,21.46,250000,299271,1,2
good,2,39.76,2,3,5,1,4,43000,286543,11266,27.92,476000,74000,1,2
good,1,29.75,2,2,5,1,3,30000,1961961,13054,17.24,295000,103010,0,1
good,1,42.76,2,1,5,2,3,30000,23756,153240,68.24,70000,172002,0,2
bad,1,40.77,1,1,5,1,3,20000,496972,69715,22.04,500000,582713,9,2
good,1,43.77,2,2,5,2,3,50000,1751736,146081,16.44,298000,502889,0,1
good,2,29.76,2,2,1,2,5,100000,603800,286663,53.72,200000,519500,0,2
good,2,42.77,2,2,5,2,5,25000,1082632,161042,28.02,298000,616157,0,2
bad,2,55.81,2,3,5,2,3,150000,1805065,247871,21.25,500000,763412,2,1
good,1,31.79,2,2,5,2,5,4000,38432,92845,46.85,100000,77096,9,2
good,2,51.81,1,2,5,2,2,50000,87423,35601,27.49,70000,40000,2,1
good,2,36.8,2,3,5,2,2,30000,155492,108161,24.52,100000,273589,4,2
good,1,41.8,2,1,5,2,2,15000,136225,199722,74.51,150000,268223,3,1
good,1,27.79,2,1,5,2,2,50000,2399357,4682,19.14,500000,55000,2,1
good,1,42.81,2,2,5,1,2,10000,466655,28066,17.14,260000,35000,0,1
bad,1,52.82,1,2,5,1,2,40000,1699000,17733,27.41,500000,85000,1,1
good,1,25.8,1,2,1,2,3,60000,104827,190317,36.61,160000,303000,1,2
good,2,45.81,2,2,5,2,5,50000,436674,184814,66.76,180000,213000,0,2
bad,2,26.81,1,2,3,2,5,10000,305594,199490,55.83,400000,627562,2,2
good,2,41.82,1,3,5,2,3,100000,1165382,138333,45.1,260000,508917,1,1
good,2,25.81,1,2,5,1,2,50000,1865441,252780,47.57,490000,256000,1,1
good,2,37.82,1,2,1,2,3,100000,2795344,273816,31.04,450000,323000,1,1
good,1,25.82,1,2,2,1,3,8000,1354822,30910,14.91,500000,237000,0,1
good,2,41.83,2,2,2,2,2,40000,3196324,306211,43.93,500000,435400,1,2
good,2,49.84,2,2,1,2,2,50000,300971,19303,32.25,120000,63350,0,1
good,2,33.84,2,2,5,2,3,80000,1840827,16865,23.12,450000,50000,0,1
good,1,30.85,2,2,5,1,3,35000,658620,25668,26.55,185000,87972,0,1
good,1,28.86,2,2,1,2,3,50000,216244,208042,23.71,250000,59000,0,2
good,2,36.87,2,2,5,2,2,25000,152875,218001,67.1,240000,606935,1,2
good,2,30.86,2,2,1,2,3,40000,195582,95157,22.2,295000,111000,2,1
good,2,37.87,2,3,5,2,2,40000,785800,60972,46.21,180000,75042,0,1
good,1,50.88,1,2,5,1,2,50000,748915,52122,15.75,163000,103000,2,1
good,2,26.87,1,2,5,2,3,50000,984400,0,12.13,295000,0,0,1
good,1,35.87,2,2,5,2,5,80000,318489,21017,28.01,500000,531130,0,2
good,2,25.87,2,2,5,1,3,30000,1485276,168200,33.69,280000,184000,3,1
good,1,41.88,2,1,5,2,2,80000,2063893,242291,39.55,500000,485124,0,1
good,2,41.88,2,1,5,1,1,30000,125733,105038,26.54,200000,309000,0,2
good,2,44.89,2,2,4,1,4,15000,1635047,236767,36.06,500000,695651,0,1
good,1,49.89,2,2,1,2,2,40000,499448,163586,74.16,150000,175000,0,2
good,2,26.88,1,2,5,1,4,10000,489184,71235,22.01,100000,104333,2,1
bad,2,45.89,2,2,1,2,2,50000,297214,132255,65.19,249000,156000,1,2
bad,1,26.9,2,1,5,2,2,60000,392996,15765,31.9,500000,52000,5,2
good,2,38.9,2,3,5,2,3,80000,750423,66809,9.6,500000,71000,3,1
good,1,37.9,2,2,5,2,2,50000,1112071,83628,37.01,150000,131000,0,1
good,1,44.91,2,2,5,2,3,50000,1112086,276611,65.48,295000,299000,1,1
good,2,36.9,2,3,5,1,2,60000,1036654,66295,15.9,200000,832780,0,1
good,1,35.9,2,2,5,2,3,30000,466109,8211,21.58,97000,8000,0,1
good,2,38.91,2,2,5,2,5,70000,716321,278845,59.5,290000,580200,0,2
good,1,47.91,2,1,2,1,3,40000,246610,1376,26.37,150000,15000,0,1
good,2,36.9,2,3,2,1,3,10000,762280,51986,41.66,285000,204333,0,1
good,1,44.91,1,2,2,2,2,100000,392117,0,75,173000,20000,0,1
good,1,31.91,2,1,5,2,3,100000,2113632,209584,66.19,286000,435861,0,2
good,1,26.9,1,2,5,1,3,6000,1378535,194467,28.06,100000,220001,0,1
good,2,36.92,1,3,5,2,2,50000,1676665,56276,72.53,193000,65800,0,1
good,2,36.92,2,3,5,2,3,35000,330628,142387,73.14,114000,261200,0,1
good,1,46.93,2,2,1,2,3,15000,205936,53504,15.53,100000,60000,0,2
good,2,26.92,1,2,2,1,3,10000,4467204,50199,10.42,250000,483333,0,1
good,2,37.93,2,1,5,2,3,35000,683371,412929,24.4,280000,350000,0,1
good,1,38.93,2,2,5,2,2,40000,164840,154416,16.13,250000,305001,0,2
good,1,31.92,2,3,5,2,3,50000,131754,37228,43.66,150000,68001,1,2
good,1,39.93,2,3,5,2,3,60000,469695,0,21.09,270000,55000,0,1
good,1,29.93,1,2,4,1,3,10000,5059067,25,5.89,500000,325000,0,1
good,1,32.93,2,2,5,1,3,24000,925797,188810,53.12,240000,214001,0,1
good,1,41.93,1,2,2,2,3,12000,225177,194765,37.11,200000,315492,0,3
good,1,36.93,2,1,2,1,2,70000,1467262,174342,16.99,500000,284073,0,1
good,1,29.93,2,3,5,2,5,30000,89133,20553,31.14,190000,20000,8,3
good,2,34.94,1,1,4,1,3,4500,181102,2917,40.76,60000,72588,1,1
good,2,28.94,2,2,1,2,3,60000,895337,59683,22,400000,74600,0,1
good,2,33.94,2,3,5,1,2,16000,714380,61904,50.97,140000,64001,0,1
good,2,36.95,2,1,1,2,1,35000,2667507,411460,30.24,300000,624000,0,1
good,2,44.95,2,3,5,2,2,80000,795562,48793,54.83,230000,185666,0,1
good,1,39.95,2,1,5,2,2,100000,4436507,82368,10.12,500000,200001,4,1
good,2,34.95,2,2,1,2,3,30000,891410,160899,20.84,190000,5200,0,1
good,2,37.95,2,3,5,2,3,30000,721078,289947,73.1,400000,290000,1,1
good,1,45.96,2,1,5,2,5,90000,509900,91012,26.97,470000,121083,4,3
good,2,26.95,2,2,5,2,4,100000,3645908,185674,20.01,500000,280000,0,1
good,2,43.96,2,2,2,1,3,15000,856368,47663,26.56,200000,176433,0,1
good,2,27.95,2,1,5,2,2,20000,2620903,165618,19.62,300000,363161,0,1
good,1,38.96,2,2,5,2,2,50000,158247,128174,71.57,240000,384400,0,2
good,2,27.95,2,2,5,1,3,60000,856718,85274,23.66,500000,683662,0,2
good,2,44.97,2,2,1,2,5,80000,201723,91849,66.91,430000,463000,0,2
good,2,47.97,2,2,1,2,3,60000,0,0,39.88,500000,0,0,2
good,2,34.96,2,3,1,2,5,40000,164404,7915,19.59,240000,153650,0,3
good,1,34.96,1,3,2,2,5,80000,602807,71589,60.89,400000,215845,0,2
good,2,40.97,2,2,1,2,3,60000,654135,16265,67.67,298000,70000,0,2
good,2,45.97,2,2,1,2,3,40000,242883,41293,24.48,148000,174750,0,1
good,1,36.97,2,2,5,2,3,50000,315504,38369,19.29,300000,285400,0,1
good,1,30.96,2,3,2,1,3,20000,570008,130702,41.07,290000,255600,0,1
bad,1,35.97,2,2,1,2,2,50000,442564,177776,57.29,500000,234000,1,2
bad,1,45.98,2,2,2,2,1,100000,568985,4324,12.19,500000,0,3,2
good,2,32.97,2,2,5,2,2,100000,452119,164181,25.69,500000,251049,5,2
good,1,32.98,2,2,1,2,3,300000,618288,46439,49.11,270000,145000,0,2
good,2,54.99,2,2,5,1,2,23091,1302257,73387,42.02,500000,85000,0,1
good,2,52.99,2,2,5,2,3,200000,5669331,0,20.61,250000,150000,1,1
good,1,44.99,2,2,5,1,2,30000,1079931,47455,20.59,248000,120010,0,1
bad,2,37.99,2,2,5,2,5,50000,857198,113923,67.68,390000,112000,2,2
good,1,50,2,2,6,1,4,13000,526335,4229,20.56,370000,130024,0,1
good,2,44,1,2,5,1,3,20000,182471,105877,66.12,130000,154200,1,2
good,2,49.01,1,2,5,2,2,58000,430153,77530,61.87,190000,270190,0,2
bad,2,32,2,2,5,2,3,100000,1000000,94294,55.6,500000,77001,1,2
good,1,35,1,2,5,1,2,30000,124036,127936,72.66,120000,276960,0,3
good,1,45.01,2,2,4,1,1,15000,919972,213983,74.95,340000,446150,0,1
good,1,33,2,1,4,1,3,0,1224777,155734,48.28,470000,337000,0,2
good,1,45.01,2,2,1,2,2,35000,191804,7778,29.99,280000,287150,0,2
good,1,46.01,2,2,5,2,2,90000,1353617,92181,46.86,340000,320000,5,1
good,1,34,2,2,5,2,3,20000,464404,34332,32.98,240000,52000,0,3
good,2,41.01,2,2,5,2,2,40000,168502,52675,34.33,100000,121590,0,2
good,2,44.01,2,2,5,1,5,70000,196375,110901,29.86,290000,177700,0,2
good,2,38.01,2,2,5,1,2,12500,299051,32559,36.76,117000,96522,0,1
good,1,49.02,2,2,5,2,2,100000,1342507,149336,35.45,500000,233000,0,2
bad,2,39.04,1,2,5,2,2,50000,459057,87084,51.16,126000,87000,6,1
good,1,38.03,2,3,5,2,3,50000,779432,29423,21.34,217000,57000,0,1
good,1,45.04,2,2,1,2,5,20000,171254,9342,19.59,250000,10000,0,3
good,2,53.05,1,1,5,2,3,50000,278471,42058,24.05,186000,362750,4,1
good,2,43.04,2,2,2,1,4,150000,1237195,214314,18.22,500000,280000,0,2
good,1,31.03,2,1,5,1,3,20000,752255,47525,32.79,100000,128269,0,1
good,1,36.04,2,3,5,2,2,80000,1021957,182859,33.19,470000,324900,0,3
good,2,29.03,2,2,1,2,2,50000,260306,29179,30.74,380000,325410,5,2
