cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
good,2,50.14,2,2,1,2,3,30000,85308,84308,54.33,80000,76000,10,2
good,2,41.13,2,2,6,2,3,100000,0,0,58.78,500000,0,0,2
good,1,42.13,2,2,1,2,3,50000,301783,257740,27.45,500000,327300,3,1
good,2,47.13,2,2,5,2,2,60000,839793,49224,67.02,500000,560000,12,2
good,2,27.12,2,2,5,1,5,10000,59462,0,24.48,160000,196400,7,2
good,2,44.13,2,3,1,2,5,40000,1444326,12435,22.45,180000,75000,0,1
good,1,25.12,1,2,4,1,3,15000,0,0,43.31,300000,0,0,2
good,2,47.14,2,2,5,1,3,15000,247243,102347,20.03,300000,100000,0,2
good,2,49.14,2,2,1,2,4,50000,563876,344452,70.87,300000,441000,3,2
good,2,31.13,2,1,1,2,3,50000,570999,34344,26.79,200000,133000,0,1
good,1,37.13,2,2,1,1,2,20000,515629,120544,23.52,170000,111800,0,1
good,2,54.14,2,1,5,2,2,50000,3292619,169115,74.99,244000,544722,0,2
good,2,48.14,2,2,2,2,5,10000,0,0,70.72,198000,0,7,2
good,2,49.14,2,2,5,2,5,50000,393876,377846,48.14,300000,418001,0,2
good,2,26.13,1,1,5,1,3,60000,0,0,24.65,300000,0,1,1
good,2,45.15,2,1,1,2,2,50000,519991,17017,59.39,164000,86000,0,1
bad,2,26.14,1,2,5,1,5,15000,279322,269075,51.65,300000,205001,2,2
bad,2,27.14,2,2,5,1,2,5000,54456,18831,61.08,80000,119425,9,2
good,1,45.15,2,2,5,2,2,50000,263456,377602,74.17,500000,700000,0,1
good,2,46.15,2,2,5,1,3,20000,625767,152494,12.7,100000,153500,2,1
good,1,42.15,2,2,5,1,3,8000,41182,57606,64.55,90000,54000,0,2
bad,2,34.15,2,3,2,2,2,150000,1324367,444046,38.73,480000,453612,14,1
bad,1,43.16,2,1,1,2,3,50000,27179,52922,35.29,270000,55000,15,2
bad,1,45.16,2,2,5,2,5,500000,235123,163492,36.79,500000,218000,8,2
good,2,32.15,2,3,1,2,2,50000,442725,163029,52.98,160000,212000,2,1
good,1,36.16,2,1,5,2,2,50000,422250,284687,31.02,500000,287000,3,2
good,1,36.16,1,3,2,1,2,7000,940535,66243,55.28,180000,356162,0,1
good,2,43.16,2,1,2,2,2,10000,1970142,195892,74.08,500000,475988,1,1
good,1,39.16,2,2,1,2,2,50000,165442,88408,54.9,150000,103600,0,2
good,2,40.16,2,2,5,1,2,15000,495564,147125,50.97,200000,362000,1,1
good,1,44.16,2,2,3,1,4,10000,674321,68991,25.69,300000,108950,0,1
bad,2,40.16,2,2,5,2,2,40000,361504,13193,21.59,199000,12000,6,1
good,2,36.16,2,3,5,1,2,12000,437037,86677,52.89,140000,118667,0,1
good,1,53.17,2,1,1,2,5,20000,123112,59214,25.73,300000,408300,1,2
good,1,26.16,2,3,1,2,2,50000,545039,96639,10.79,100000,109500,1,1
good,2,43.17,2,1,5,2,2,100000,1182687,296795,27,500000,350000,5,1
bad,1,38.17,2,2,2,2,3,100000,341967,190159,34.5,500000,254817,5,2
bad,1,40.17,2,3,2,2,5,69200,188599,374450,62.08,300000,450947,5,1
good,1,33.16,1,2,1,2,3,35000,1267593,555932,74.99,96000,714500,0,1
good,2,34.16,2,3,5,1,3,15000,40215,42378,25.81,100000,57000,8,1
good,2,29.16,1,2,4,1,3,11000,880943,178801,53.72,160000,245601,0,1
good,2,44.17,2,2,5,1,3,12000,175846,45861,45.59,140000,125400,3,2
good,1,54.18,2,2,5,2,2,15000,92524,0,29.18,210000,62000,3,2
good,2,41.18,2,3,1,2,3,50000,1097444,216426,48.3,287000,481500,0,1
good,2,27.17,1,1,2,2,3,20000,853543,242946,13.3,250000,292300,2,1
good,1,37.17,2,2,5,2,2,300000,3108033,67244,12.57,500000,80000,1,1
good,2,31.17,2,2,5,1,3,10000,40215,202034,30.44,100000,413200,1,1
good,2,34.17,2,2,5,2,3,12000,83042,181004,74.08,80000,175000,6,2
bad,1,32.17,2,3,5,2,2,80000,233682,0,28.76,370000,1,1,2
bad,1,37.18,1,2,2,2,3,150000,272905,122468,24.43,358000,51501,2,1
bad,1,37.18,2,2,1,2,2,50000,0,0,31.27,200000,0,3,2
good,1,32.18,2,2,5,1,3,11000,110257,25037,35.11,150000,47000,0,1
good,2,43.18,2,2,1,2,5,58,82075,0,29.22,200000,40000,0,2
good,1,28.17,2,2,1,1,3,50000,0,0,33.65,200000,0,0,1
bad,1,41.18,2,2,5,2,3,15000,746835,65339,42.43,180000,166000,1,1
bad,2,42.19,2,2,1,2,3,60000,1719012,375916,50.18,500000,310200,1,1
good,2,34.18,2,3,2,1,2,15000,739166,191079,52.57,125000,185757,6,1
good,1,42.19,2,2,1,2,3,20000,47932,213382,74.92,109000,345000,9,2
good,2,31.18,2,2,5,1,2,20000,72386,177543,65.27,180000,322847,1,2
good,2,46.19,2,2,1,1,2,6000,53083,21394,20.97,132000,48000,2,1
good,2,47.19,2,2,1,2,2,35000,856978,80150,52.15,140000,156000,3,2
good,1,36.18,2,2,5,2,3,100000,798834,66729,30.29,440000,102010,0,2
bad,2,35.19,2,2,1,2,3,150000,1170942,174034,40.3,380000,610310,10,1
good,2,47.2,2,3,5,2,2,60000,515641,49841,74.94,270000,346840,0,1
good,1,50.21,2,2,1,2,2,40000,315566,422265,54.48,300000,870990,0,1
good,1,41.2,2,1,2,2,3,20000,223112,423403,45.32,300000,721010,0,2
